city-id,city_state,name,url
1,1,Port-Blair,port-blair
2,2,Adoni,adoni
3,2,Amaravati-,amaravati
4,2,Anantapur,anantapur
5,2,Bhimavaram,bhimavaram
6,2,Chilakaluripet,chilakaluripet
7,2,Chittoor,chittoor
8,2,Dharmavaram,dharmavaram
9,2,Eluru,eluru
10,2,Gudivada,gudivada
11,2,Guntakal,guntakal
12,2,Guntur,guntur
13,2,Hindupur,hindupur
14,2,Kadapa,kadapa
15,2,Kakinada,kakinada
16,2,Kavali,kavali
17,2,Kurnool,kurnool
18,2,Machilipatnam-,machilipatnam
19,2,Madanapalle,madanapalle
20,2,Nandyal,nandyal
21,2,Narasaraopet,narasaraopet
22,2,Nellore,nellore
23,2,Ongole,ongole
24,2,Proddatur,proddatur
25,2,Rajahmundry,rajahmundry
26,2,Srikakulam,srikakulam
27,2,Tadepalligudem,tadepalligudem
28,2,Tadipatri,tadipatri
29,2,Tenali,tenali
30,2,Tirupati,tirupati
31,2,Vijayawada,vijayawada
32,2,Visakhapatnam,visakhapatnam
33,2,Vizianagaram,vizianagaram
34,3,Itanagar,itanagar
35,4,Dhuburi,dhuburi
36,4,Dibrugarh,dibrugarh
37,4,Dispur,dispur
38,4,Guwahati,guwahati
39,4,Jorhat,jorhat
40,4,Nagaon,nagaon
41,4,Sibsagar,sibsagar
42,4,Silchar,silchar
43,4,Tezpur,tezpur
44,4,Tinsukia,tinsukia
45,5,Patna,patna
46,5,Gaya,gaya
47,5,Bhagalpur,bhagalpur
48,5,Muzaffarpur,muzaffarpur
49,5,Biharsharif,biharsharif
50,5,Darbhanga,darbhanga
51,5,Purnia,purnia
52,5,Arrah,arrah
53,5,Begusarai,begusarai
54,5,Katihar,katihar
55,5,Munger,munger
56,5,Chapra,chapra
57,5,Dinapur-Nizamat,dinapur-nizamat
58,5,Saharsa,saharsa
59,5,Hajipur,hajipur
60,5,Sasaram,sasaram
61,5,Dehri,dehri
62,5,Siwan,siwan
63,5,Bettiah,bettiah
64,5,Motihari,motihari
65,5,Bagaha,bagaha
66,5,Kishanganj,kishanganj
67,5,Jamalpur,jamalpur
68,5,Jehanabad,jehanabad
69,5,Buxar,buxar
70,5,Aurangabad,aurangabad
71,6,Raipur,raipur
72,6,Bhilai-Nagar,bhilai-nagar
73,6,Korba,korba
74,6,Bilaspur,bilaspur
75,6,Durg,durg
76,6,Rajnandgaon,rajnandgaon
77,6,Raigarh,raigarh
78,6,Jagdalpur,jagdalpur
79,6,Ambikapur,ambikapur
80,7,Chandigarh,chandigarh
81,8,Silvassa,silvassa
82,9,Daman,daman
83,9,Diu,diu
84,10,Delhi,delhi
85,10,Kirari-Suleman-Nagar,kirari-suleman-nagar
86,10,NDMC,ndmc
87,10,Karawal-Nagar,karawal-nagar
88,10,Nangloi-Jat,nangloi-jat
89,10,Bhalswa-Jahangir-Pur,bhalswa-jahangir-pur
90,10,Sultan-Pur-Majra,sultan-pur-majra
91,10,Hastsal,hastsal
92,10,Deoli,deoli
93,10,Dallo-Pura,dallo-pura
94,10,Burari,burari
95,10,Mustafabad,mustafabad
96,10,Gokal-Pur,gokal-pur
97,10,Mandoli,mandoli
98,10,Delhi-Cantonment,delhi-cantonment
99,11,Madgaon,madgaon
100,11,Panaji,panaji
101,12,Ahmedabad,ahmedabad
102,12,Surat,surat
103,12,Vadodara,vadodara
104,12,Rajkot,rajkot
105,12,Bhavnagar,bhavnagar
106,12,Jamnagar,jamnagar
107,12,Junagadh,junagadh
108,12,Gandhidham,gandhidham
109,12,Nadiad,nadiad
110,12,Gandhinagar,gandhinagar
111,12,Anand,anand
112,12,Morvi,morvi
113,12,Mahesana,mahesana
114,12,Surendranagar-Dudhrej,surendranagar-dudhrej
115,12,Bharuch,bharuch
116,12,Vapi,vapi
117,12,Navsari,navsari
118,12,Veraval,veraval
119,12,Porbandar,porbandar
120,12,Godhra,godhra
121,12,Bhuj,bhuj
122,12,Botad,botad
123,12,Patan,patan
124,12,Palanpur,palanpur
125,12,Jetpur-Navagadh,jetpur-navagadh
126,12,Valsad,valsad
127,12,Kalol,kalol
128,12,Gondal,gondal
129,12,Deesa,deesa
130,12,Amreli,amreli
131,13,Faridabad,faridabad
132,13,Gurgaon,gurgaon
133,13,Rohtak,rohtak
134,13,Hisar,hisar
135,13,Panipat,panipat
136,13,Karnal,karnal
137,13,Sonipat,sonipat
138,13,Yamunanagar,yamunanagar
139,13,Panchkula,panchkula
140,13,Bhiwani,bhiwani
141,13,Ambala,ambala
142,13,Sirsa,sirsa
143,13,Bahadurgarh,bahadurgarh
144,13,Jind,jind
145,13,Thanesar,thanesar
146,13,Kaithal,kaithal
147,13,Rewari,rewari
148,13,Palwal,palwal
149,13,Jagadhri,jagadhri
150,13,Ambala-Sadar,ambala-sadar
151,14,Bilaspur,bilaspur
152,14,Chamba,chamba
153,14,Dalhousie,dalhousie
154,14,Dharmshala,dharmshala
155,14,Hamirpur,hamirpur
156,14,Kangra,kangra
157,14,Kullu,kullu
158,14,Mandi,mandi
159,14,Nahan,nahan
160,14,Shimla,shimla
161,14,Una,una
162,15,Anantnag,anantnag
163,15,Baramula,baramula
164,15,Doda,doda
165,15,Gulmarg,gulmarg
166,15,Jammu,jammu
167,15,Kathua,kathua
168,15,Leh,leh
169,15,Punch,punch
170,15,Rajauri,rajauri
171,15,Srinagar,srinagar
172,15,Udhampur,udhampur
173,16,Dhanbad,dhanbad
174,16,Ranchi,ranchi
175,16,Jamshedpur,jamshedpur
176,16,Bokaro-Steel,bokaro-steel
177,16,Mango,mango
178,16,Deoghar,deoghar
179,16,Adityapur,adityapur
180,16,Hazaribag,hazaribag
181,16,Chas,chas
182,16,Giridih,giridih
183,16,Chaibasa,chaibasa
184,16,Dumka,dumka
185,16,Jharia,jharia
