localityid,locality_city,name,url
284,12,LIC Colony,lic-colony
285,12,APHB Colony,aphb-colony
286,12,Sangadigunta,sangadigunta
287,12,Nehru Nagar,nehru-nagar
288,12,Velangini Nagar,velangini-nagar
289,12,NGO Colony,ngo-colony
290,12,KVP Colony,kvp-colony
291,12,Vikas Nagar,vikas-nagar
292,12,Kandlagunta,kandlagunta
293,12,Srinagar Colony,srinagar-colony
294,12,Ravela,ravela
295,12,Varagani,varagani
296,12,Vinukonda,vinukonda
297,12,Macherla,macherla
298,12,Vejendla,vejendla
299,12,Agatha Varappadu,agatha-varappadu
300,12,Repalle,repalle
301,12,Kanna Vari Thota,kanna-vari-thota
302,12,Nandivelugu Road,nandivelugu-road
303,12,Lalupuram,lalupuram
304,12,Kaza,kaza
305,12,Kondaveedu,kondaveedu
306,12,Lam,lam
307,12,Palakaluru Road,palakaluru-road
308,12,Mahatma Gandhi Inner Ring Road,mahatma-gandhi-inner-ring-road
309,12,Kantheru,kantheru
310,12,Kommineni Nagar,kommineni-nagar
311,12,Ankireddy Palem,ankireddy-palem
312,12,Railpet,railpet
313,12,Nallacheruvu,nallacheruvu
314,12,Ponnekallu,ponnekallu
315,12,Pedavadlapudi,pedavadlapudi
316,12,kothapeta,kothapeta
317,12,Seri Amaravaram,seri-amaravaram
318,12,Pedakurapadu,pedakurapadu
319,12,Vykuntapuram,vykuntapuram
320,12,Panduranga Nagar,panduranga-nagar
321,12,Duggirala,duggirala
322,12,Rentachintala,rentachintala
323,12,Cherukupalli,cherukupalli
324,12,Lingapuram,lingapuram
325,12,Kunchanapalli,kunchanapalli
326,12,Koppuravuru,koppuravuru
327,12,Nidumukkala,nidumukkala
328,13,Hindupur Extns ,hindupur-extns
329,13,Hindupur ,hindupur
330,13,Bevinahalli ,bevinahalli
331,13,Gollapuram ,gollapuram
332,13,Kirikera ,kirikera
333,13,S.Sadlapalli ,s-sadlapalli
334,13,Kotipi ,kotipi
335,13,Chowluru ,chowluru
336,13,Santhebidanur ,santhebidanur
337,13,Birepalli ,birepalli
338,13,Hindupur Sevamandir ,hindupur-sevamandir
339,13,Malugur ,malugur
340,13,Srirangarajupalli ,srirangarajupalli
341,13,Manesamudram ,manesamudram
342,13,Mothukapalli ,mothukapalli
343,13,Moda ,moda
344,13,Kotnur ,kotnur
345,13,Sasanakota ,sasanakota
346,13,Gollapalli ,gollapalli
347,13,Guvvalaguttapalli ,guvvalaguttapalli
348,13,Vanavolu ,vanavolu
349,13,Kammavaripalli ,kammavaripalli
350,13,Gangampalli ,gangampalli
351,13,Gownivaripalli ,gownivaripalli
352,13,Karavulapalli ,karavulapalli
353,13,Mandalapalle ,mandalapalle
354,13,Gorantla ,gorantla
355,13,Kondapuram ,kondapuram
356,13,Jakkasamudram ,jakkasamudram
357,13,Pedaballi ,pedaballi
358,13,Gummaiahgaripalli ,gummaiahgaripalli
359,13,Puleru ,puleru
360,14,Gangana palli,gangana-palli
361,14,Mydukur,mydukur
362,14,Rajampet,rajampet
363,14,Rayachoty,rayachoty
364,14,Krishnapuram Village,krishnapuram-village
365,14,Aalam Khan Palle,aalam-khan-palle
366,14,Mariapuram,mariapuram
367,14,Akkayapalli,akkayapalli
368,14,Proddatur,proddatur
369,14,Prakash Nagar,prakash-nagar
370,14,Telugu Ganga Colony,telugu-ganga-colony
371,14,Ravindra Nagar,ravindra-nagar
372,14,Balaji Nagar,balaji-nagar
373,14,Koduru,koduru
374,14,Animela,animela
375,14,Railway Colony,railway-colony
376,14,Vinayaka Nagar,vinayaka-nagar
377,14,Jammalamadugu,jammalamadugu
378,14,Thollaganganapalle,thollaganganapalle
379,14,Korrapadu Road,korrapadu-road
380,14,Pulivendula,pulivendula
381,14,Kamalapuram,kamalapuram
382,14,Gandikota,gandikota
383,14,RTC colony,rtc-colony
384,14,Badvel,badvel
385,14,Rayalapanthulapalle,rayalapanthulapalle
386,14,Paatha Kadapa,paatha-kadapa
387,14,Chinna Chowk,chinna-chowk
388,14,Yerraguntla,yerraguntla
389,14,Porumamilla,porumamilla
390,14,Puttampalli,puttampalli
391,15,Kakinada,kakinada
392,16,Kavali,kavali
393,17,Srisailam,srisailam
394,17,Sampath Nagar,sampath-nagar
395,17,Panchalingala,panchalingala
396,17,Pullur,pullur
397,17,Teachers Colony,teachers-colony
398,17,Nandyal,nandyal
399,17,Yemmiganur,yemmiganur
400,17,Adoni,adoni
401,17,Ulchala,ulchala
402,17,Prakash Nagar,prakash-nagar
403,17,River View Colony,river-view-colony
404,17,Nandyal Road,nandyal-road
405,17,A Camp,a-camp
406,17,Guru Raghavendra Nagar,guru-raghavendra-nagar
407,17,B Camp,b-camp
408,17,Nannur,nannur
409,17,Shareen Nagar,shareen-nagar
410,17,Mantralayam,mantralayam
411,17,Mahalakshmi Nagar,mahalakshmi-nagar
412,17,Balaji Nagar,balaji-nagar
413,17,Alluri Sitarama Raju Nagar,alluri-sitarama-raju-nagar
414,17,Kallur,kallur
415,17,Gandhi Nagar,gandhi-nagar
416,17,Dhone,dhone
417,17,Deva Nagar,deva-nagar
418,17,Banaganapalli,banaganapalli
419,17,Kodumur,kodumur
420,17,Nandikotkur,nandikotkur
421,17,Sita Rama Nagar,sita-rama-nagar
422,17,Maddur Nagar,maddur-nagar
423,17,Orvakal,orvakal
424,17,N R Peta,n-r-peta
425,17,Nehru Auto Nagar,nehru-auto-nagar
426,17,Lakshmi Nagar Colony,lakshmi-nagar-colony
427,17,Ashok Nagar,ashok-nagar
428,17,B Thandrapadu,b-thandrapadu
429,17,NH-18,nh-18
430,17,Dinnedevarapadu,dinnedevarapadu
431,17,Santosh Nagar Colony,santosh-nagar-colony
432,18,Machilipatnam ,machilipatnam
433,19,Madanapalle,madanapalle
434,20,Nandyal,nandyal
435,21,Narasaraopet,narasaraopet
436,22,Vedayapalem,vedayapalem
437,22,Magunta Layout,magunta-layout
438,22,Gudur,gudur
439,22,Allepuram,allepuram
440,22,Sulurpet,sulurpet
441,22,Manubolu,manubolu
442,22,Kakuturu village,kakuturu-village
443,22,Eduru Revenue Village,eduru-revenue-village
444,22,Kodur,kodur
445,22,Kavali,kavali
446,22,Muthukur Road,muthukur-road
447,22,Kovur,kovur
448,22,B V Nagar ,b-v-nagar
449,22,Vaviletipadu,vaviletipadu
450,22,ZP Colony ,zp-colony
451,22,Saraswathi Nagar,saraswathi-nagar
452,22,Kallurpalle Rural,kallurpalle-rural
453,22,Podalakur Road,podalakur-road
454,22,Venkatachalam,venkatachalam
455,22,Gandhi Nagar,gandhi-nagar
456,22,Kothur,kothur
457,22,Balaji Nagar,balaji-nagar
458,22,Mypadu,mypadu
459,22,Buchireddypalem,buchireddypalem
460,22,Mulapet,mulapet
461,22,Baba Nagar,baba-nagar
462,22,Umma Reddy Gunta,umma-reddy-gunta
463,22,Ranganayakulapeta,ranganayakulapeta
464,22,Ravindra Nagar,ravindra-nagar
465,22,NGO Colony,ngo-colony
466,22,Nawabpet,nawabpet
467,22,Dargamitta,dargamitta
468,22,Ramalinga Puram,ramalinga-puram
469,22,Naidupeta,naidupeta
470,22,Padarupalli,padarupalli
471,22,Kanuparthipadu,kanuparthipadu
472,23,Ongole,ongole
473,24,Proddatur,proddatur
474,25,Prakash Nagar,prakash-nagar
475,25,Ramachandrapuram,ramachandrapuram
476,25,Prakasam Nagar,prakasam-nagar
477,25,Bommuru,bommuru
478,25,Diwancheruvu,diwancheruvu
479,25,Jawaharlal Nehru road,jawaharlal-nehru-road
480,25,Venkateswara Nagar,venkateswara-nagar
481,25,Gandhi Puram,gandhi-puram
482,25,Chakradwarabandham,chakradwarabandham
483,25,Danavaipet,danavaipet
484,25,Seshayya Metta,seshayya-metta
485,25,Annapurnampeta,annapurnampeta
486,25,Madhurapudi,madhurapudi
487,25,Konthamuru,konthamuru
488,25,Rajanagaram,rajanagaram
489,25,Nidadavolu,nidadavolu
490,25,Bhoorugupudi,bhoorugupudi
491,25,Kambala Cheruvu,kambala-cheruvu
492,25,Bhaskar Nagar,bhaskar-nagar
493,25,Punyakshetram,punyakshetram
494,25,Sriramnagar,sriramnagar
495,25,Lalitha Nagar,lalitha-nagar
496,25,Morampudi,morampudi
497,25,Padmavathi Nagar,padmavathi-nagar
498,25,Korukonda,korukonda
499,25,Tapeswaram,tapeswaram
500,25,Namavaram,namavaram
501,25,Kothapeta,kothapeta
502,25,Pallakadiyam,pallakadiyam
503,25,Navabharat Nagar,navabharat-nagar
504,25,Lalacheruvu,lalacheruvu
505,25,AV Appa Rao Road,av-appa-rao-road
506,25,Katheru,katheru
507,25,Mallikarjuna Nagar,mallikarjuna-nagar
508,25,Innespeta,innespeta
509,25,Tallapudi,tallapudi
510,25,Hukumpeta,hukumpeta
511,25,Satilite City,satilite-city
512,25,Mangalavaripeta,mangalavaripeta
513,25,Gadala,gadala
514,25,Rayudu Pakalu,rayudu-pakalu
515,25,Haripuram,haripuram
516,26,KAMALA NIVAS ROAD,kamala-nivas-road
517,26,Etcherla,etcherla
518,26,Purushothapuram,purushothapuram
519,26,Patrunivalasa,patrunivalasa
520,26,Visakha Colony,visakha-colony
521,26,Balaga,balaga
522,26,Palakonda,palakonda
523,26,Sri Visakha Colony,sri-visakha-colony
524,26,Arasavilli,arasavilli
525,26,Kothapeta,kothapeta
526,26,Sompeta,sompeta
527,26,Tekkali,tekkali
528,26,Singupuram,singupuram
529,26,Pedapadu,pedapadu
530,26,Andhra Pradesh Housing Board Colony,andhra-pradesh-housing-board-colony
